comando, descripción, ejemplo
git init, inicializa el repositorio
git config --global user.name "[nombre usuario]", cambia el usuario global de la configuración de git, git config --global user.name "DevRehpotsirhc"
git config --global user.email "[email]", cambia el email global de la configuración de git, git config --global user.email "christopher4ponte@gmail.com"
git remote add origin "[repositorio remoto]", crea una conexión con un repositorio remoto, git remote add origin "https://github.com/DevRehpotsirhc/Portfolio.git"
git clone "[repositorio remoto]", clona el repositorio remoto en local, git clone "https://github.com/DevRehpotsirhc/Portfolio.git"
git status, muestra el estado actual del repositorio incluyendo archivos sin añadir y demás
git add [archivo/s], añade los archivos modificados/nuevos al próximo commit, git add . (El '.' añade todo el directorio actual) / git add ejemplo.py
git reset HEAD [archivo/s], quita los archivos especificados para el siguiente commit, git reset HEAD . / git reset HEAD ejemplo.py
git commit -m "[descripción]: [mensaje]", aplica los cambios a la branch seleccionada y añade un mensaje sobre los archivos añadidos, git commit -m "fix(login): corregí un problema con el formulario de login sobre la validación de contraseñas"
git log, muestra el historial de commits hechos
git branch, muestra las ramas en el repositorio
git branch [nombre], crea una rama en el repositorio, git branch ejemplo
git branch -d [rama], elimina una rama, git branch -d ejemplo
git checkout [nombre], cambia de rama, git checkout ejemplo
git diff [rama], muestra las diferencia dos ramas, git diff ejemplo / git diff main ejemplo
git merge [rama], fusiona dos ramas, git merge ejemplo / git diff merge main ejemplo
git push main origin, sube los cambios hecho al repositorio remoto
git pull origin main, actualiza el repositorio local con los cambios en el repositorio remoto
